"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Powerburst of sorcery (2...",30200,30200,30200,30200,30200,30200,30200,30200
"Powerburst of sorcery (3...",55800,55800,55800,55800,55800,55800,55800,55800
"Powerburst of sorcery (4...",106100,106100,106100,106100,101000,101000,101000,101000
"Powerburst of vitality (...",935,935,299,299,286,285,285,285
"Powerburst vial",8,8,8,8,8,8,8,8
"Praesul codex",550500000,550500000,559400000,559400000,559400000,559400000,559400000,559400000
"Praesul codex shard",4100000,4100000,4100000,4100000,4100000,4100000,4100000,4100000
"Praesulic essence (magic...",17200000,17200000,17200000,17200000,17200000,17200000,17200000,17200000
"Praesulic essence (melee...",21200000,21200000,21200000,21200000,21200000,22100000,22100000,22100000
"Praesulic essence (range...",12100000,12100000,12100000,12100000,12100000,11500000,11500000,11500000
"Prayer flask (6)",14400,14400,14100,14100,13900,13500,13500,13500
"Prayer mix (1)",908,908,908,908,908,908,908,908
"Prayer mix (2)",1183,1183,1183,1183,1183,1183,1183,1183
"Prayer potion (1)",737,707,706,706,699,715,715,715
"Prayer potion (2)",1646,1646,1643,1643,1643,1600,1600,1600
"Prayer potion (3)",2370,2332,2328,2328,2345,2329,2329,2329
"Prayer potion (4)",3586,3570,3320,3320,3275,3423,3423,3423
"Prayer renewal (1)",2924,2924,2924,2924,2924,2924,2924,2924
"Prayer renewal (2)",4559,4559,4559,4559,4559,4559,4559,4559
"Prayer renewal (3)",10300,10300,9968,9968,9968,9968,9968,9968
"Prayer renewal (4)",14600,14500,13900,13900,13600,13500,13500,13500
"Prayer renewal flask (6)...",27400,27400,26600,26600,26600,26600,26600,26600
"Praying mantis pouch",3208,3208,3208,3208,3208,3208,3208,3208
"Pre-nature amulet",2016,2016,2016,2016,2016,2016,2016,2016
"Premade Blurberry Specia...",290,290,290,290,290,290,290,290
"Premade c+t batta",149,149,149,149,149,149,149,149
"Premade choc bomb",915,915,915,915,915,915,915,915
"Premade chocolate chip c...",134,134,134,134,134,134,134,134
"Premade Chocolate Saturd...",121,121,121,121,121,121,121,121
"Premade Drunk Dragon",195,195,195,195,195,195,195,195
"Premade fruit batta",137,137,137,137,137,137,137,137
"Premade Fruit Blast",62,62,62,62,62,62,62,62
"Premade Pineapple Punch",49,49,51,51,51,51,51,51
"Premade Short Green Guy",36,36,36,36,36,36,36,36
"Premade spicy crunchies",106,106,106,106,106,106,106,106
"Premade toad batta",135,135,135,135,135,135,135,135
"Premade toad crunchies",1501,1501,1501,1501,1501,1501,1501,1501
"Premade ttl",1145,1145,1145,1145,1145,1145,1145,1145
"Premade veg ball",286,286,286,286,286,286,286,286
"Premade veg batta",152,152,152,152,152,152,152,152
"Premade Wizard Blizzard",34,34,34,34,34,34,34,34
"Premade worm batta",131,131,131,131,131,131,131,131
"Premade worm crunchies",76,76,76,76,76,76,76,76
"Premade worm hole",279,279,279,279,279,279,279,279
"Present hammer weapon to...",141600,141600,141600,141600,141600,141600,141600,141600
"Present head token",36800,36800,36800,36800,36800,36800,36800,36800
"Present sack token",1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
"Pretzel shield token",10600,10600,10600,10600,10600,10600,10600,10600
"Prickly pear seed",91,91,93,93,96,96,96,96
"Priest gown",74,74,74,74,74,75,75,75
"Primal dessert",35700,35700,35700,35700,35700,35700,35700,35700
"Primal extract",698,667,635,635,644,665,665,665
"Primal fruit pulp",690,655,590,590,567,548,548,548
"Primal main course",55300,55300,55300,55300,55300,55300,55300,55300
"Primal starter",39100,39100,39100,39100,39100,39100,39100,39100
"Primweed",453,453,453,453,453,453,453,453
"Proboscis",6853,6853,7120,7120,7120,7120,7120,7120
"Proselyte cuisse",4628,4628,4628,4628,4628,4628,4628,4628
"Proselyte harness (f)",15300,15300,15300,15300,15300,15300,15300,15300
"Proselyte harness (m)",33800,33800,33800,33800,33800,33800,33800,33800
"Proselyte hauberk",3977,3977,4074,4074,4074,4074,4074,4074
"Proselyte sallet",3590,3590,3590,3590,3590,3590,3590,3590
"Proselyte tasset",3685,3685,3685,3685,3685,3685,3685,3685
"Pufferfish Balloon",1300000,1300000,1300000,1300000,1300000,1300000,1300000,1300000
"Pufferfish follower pet ...",2900000,2900000,2900000,2900000,2900000,2900000,2900000,2900000
"Pufferfish launcher over...",8498,8498,8498,8498,8498,8498,8498,8498
"Pumpkin",453600000,453600000,453600000,453600000,453600000,453600000,453600000,453600000
"Pure essence",39,38,38,38,38,39,39,39
"Purified 2h crossbow tok...",238600,238600,238600,238600,238600,238600,238600,238600
"Purified crossbow token",897400,897400,897400,897400,897400,897400,897400,897400
"Purified greatsword toke...",704600,704600,704600,704600,704600,704600,704600,704600
"Purified halberd token",238600,238600,238600,238600,238600,238600,238600,238600
"Purified shortbow token",506200,506200,506200,506200,506200,506200,506200,506200
"Purified staff token",864600,864600,864600,864600,864600,864600,864600,864600
"Purified swords token",928200,928200,928200,928200,928200,928200,928200,928200
"Purified wand and orb to...",718300,718300,718300,718300,718300,718300,718300,718300
"Purple checkered shirt",811300,811300,811300,811300,811300,811300,811300,811300
"Purple dye",227,227,227,227,227,233,233,233
"Purple elegant blouse",547500,547500,571400,571400,571400,571400,571400,571400
"Purple elegant legs",565500,565500,565500,565500,565500,565500,565500,565500
"Purple elegant shirt",568200,568200,593200,593200,593200,593200,593200,593200
"Purple elegant skirt",560600,560600,560600,560600,560600,560600,560600,560600
"Purple firelighter",649,680,713,713,713,736,736,736
"Purple flowers",2562,2562,2562,2562,2562,2562,2562,2562
"Purple mushroom",10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000
"Purple partyhat",2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09
"Purple sweets",1316,1316,1294,1294,1281,1256,1256,1256
"Puzzle-skipping ticket",634700,634700,618400,618400,612300,650500,650500,650500
"Pyjama bottoms",701800,701800,735600,735600,735600,735600,735600,735600
"Pyjama slippers",747200,747200,781100,781100,781100,819900,819900,819900
"Pyjama top",746400,746400,782900,782900,782900,782900,782900,782900
"Pyramid hat head token",12800,12800,12800,12800,12800,12800,12800,12800
"Pyre logs",3985,3985,3985,3985,3985,3985,3985,3985
"Pyrelord pouch",2104,2104,2105,2105,2105,2105,2105,2105
"Quintessence",4041,4041,4049,4049,4028,4057,4057,4057
"Rabbit foot",7510,7510,7510,7510,7272,7272,7272,7272
"Rabbit sandwich",377,377,377,377,381,381,381,381
"Rabbit snare",1,1,1,1,1,1,1,1
"Rabbit teeth",NA,NA,NA,NA,NA,NA,NA,NA
"Radiant energy",273,275,290,290,300,291,291,291
"Ragefire boots",29200000,29200000,28600000,28600000,28600000,28600000,28600000,28600000
"Ragefire gland",408600,408600,391300,391300,391300,391300,391300,391300
"Rainbow amulet token",96700,96700,96700,96700,96700,96700,96700,96700
"Rainbow aura token",727800,740800,740800,740800,740800,740800,740800,740800
"Rainbow bow token",54800,54800,54800,54800,54800,54800,54800,54800
"Rainbow cape",29400000,29400000,29400000,29400000,29400000,32400000,32400000,32400000
"Rainbow fish",163,163,163,163,163,163,163,163
"Rainbow gaze token",155700000,155700000,155700000,155700000,155700000,155700000,155700000,155700000
"Rainbow halo token",288400,288400,288400,288400,288400,288400,288400,288400
"Rainbow parasol",6700000,6700000,6700000,6700000,6700000,6700000,6700000,6700000
"Rainbow pet token",22300000,22300000,22300000,22300000,22300000,22300000,22300000,22300000
"Rainbow scythe token",93900000,93900000,93900000,93900000,93900000,93900000,93900000,93900000
"Rainbow sweetcorn",1184,1184,1184,1184,1184,1184,1184,1184
"Rainbow teleport token",3e+07,3e+07,3e+07,3e+07,3e+07,3e+07,3e+07,3e+07
"Rainbow wand token",9100000,9100000,9100000,9100000,9100000,9100000,9100000,9100000
"Rake",136,136,136,136,136,136,136,136
"Ranarr incense sticks",3045,3045,3045,3045,3045,3045,3045,3045
"Ranarr potion (unf)",NA,NA,NA,NA,NA,NA,NA,NA
"Ranarr seed",966,966,956,956,988,986,986,986
"Ranger boots",1700000,1700000,1700000,1700000,1700000,1700000,1700000,1700000
"Ranger's aid",1347,1347,1347,1347,1347,1347,1347,1347
"Ranger's aid (m)",1005,1005,1005,1005,1005,1005,1005,1005
"Ranging flask (6)",11800,11800,11800,11800,11800,11800,11800,11800
"Ranging mix (1)",8,8,8,8,8,8,8,8
"Ranging mix (2)",429,429,429,429,429,429,429,429
"Ranging potion (1)",954,954,954,954,954,954,954,954
"Ranging potion (2)",1441,1441,1441,1441,1441,1441,1441,1441
"Ranging potion (3)",1344,1344,1344,1344,1344,1344,1344,1344
"Ranging potion (4)",2412,2412,2439,2439,2439,2439,2439,2439
"Raurg bones",26900,26900,26900,26900,26900,26900,26900,26900
"Ravenous locust pouch",1506,1491,1491,1491,1491,1491,1491,1491
"Raw admiral pie",3795,3795,3795,3795,3795,3795,3795,3795
"Raw anchovies",523,523,546,546,546,546,546,546
"Raw arcane apoterrasaur ...",2530,2530,2513,2513,2513,2449,2449,2449
"Raw asciatops meat",90700,90700,94200,94200,94200,94200,94200,94200
"Raw bagrada rex meat",14600,14600,14600,14600,14600,14600,14600,14600
"Raw bass",1315,1351,1351,1351,1351,1384,1384,1384
"Raw bear meat",2723,2723,2757,2757,2784,2745,2745,2745
"Raw beast meat",404,404,404,404,388,388,388,388
"Raw beef",509,524,553,553,570,606,606,606
"Raw beltfish",1196,1196,1136,1136,1091,1046,1046,1046
"Raw bird meat",499,518,562,562,591,642,642,642
"Raw blue blubber jellyfi...",7112,7112,6552,6552,6224,6113,6113,6113
"Raw catfish",837,837,798,798,768,737,737,737
"Raw cave eel",501,501,501,501,501,510,510,510
"Raw cavefish",2428,2469,2347,2347,2252,2064,2064,2064
"Raw chicken",859,859,864,864,861,849,849,849
"Raw chompy",6379,6187,6187,6187,6187,6488,6488,6488
"Raw cod",943,959,959,959,974,974,974,974
"Raw corbicula rex meat",177000,177000,184900,184900,184900,184900,184900,184900
"Raw crayfish",534,534,560,560,560,583,583,583
"Raw crunchies",232,232,232,232,232,232,232,232
"Raw desert sole",370,370,354,354,343,334,334,334
"Raw fish pie",4519,4519,4519,4519,4519,4519,4519,4519
"Raw garden pie",1984,1984,1984,1984,1984,1984,1984,1984
"Raw great white shark",2684,2684,2592,2592,2466,2354,2354,2354
"Raw green blubber jellyf...",762,762,737,737,737,704,704,704
"Raw herring",675,675,685,685,685,685,685,685
"Raw jubbly",908,908,908,908,908,908,908,908
"Raw karambwan",5163,5163,5163,5163,5163,5328,5328,5328
"Raw lobster",378,373,362,362,363,360,360,360
"Raw mackerel",560,567,567,567,578,578,578,578
"Raw malletops meat",5517,5517,5517,5517,5517,5517,5517,5517
"Raw manta ray",2984,2984,2785,2785,2689,2500,2500,2500
"Raw monkfish",1804,1804,1749,1749,1749,1683,1683,1683
"Raw mud pie",3098,3098,3098,3098,3098,3098,3098,3098
"Raw oculi apoterrasaur m...",5801,5801,5955,5955,5955,5955,5955,5955
"Raw oomlie",NA,NA,NA,NA,NA,NA,NA,NA
"Raw pavosaurus rex meat",NA,NA,NA,NA,NA,NA,NA,NA
"Raw pawya meat",1540,1563,1529,1529,1545,1617,1617,1617
"Raw pike",577,577,577,577,577,574,574,574
"Raw potato",579,579,604,604,632,654,654,654
"Raw rabbit",509,509,549,549,577,624,624,624
"Raw rainbow fish",514,514,514,514,514,514,514,514
"Raw rat meat",NA,NA,NA,NA,NA,NA,NA,NA
"Raw rocktail",NA,NA,NA,NA,NA,NA,NA,NA
"Raw sailfish",NA,NA,NA,NA,NA,NA,NA,NA
"Raw salmon",593,593,578,578,569,553,553,553
"Raw sardine",566,566,568,568,568,567,567,567
"Raw scimitops meat",61100,61100,59700,59700,59700,59700,59700,59700
"Raw sea turtle",NA,NA,NA,NA,NA,NA,NA,NA
"Raw shark",NA,NA,NA,NA,NA,NA,NA,NA
"Raw shrimps",749,749,761,761,761,743,743,743
"Raw spicati apoterrasaur...",88200,88200,91500,91500,91500,91500,91500,91500
"Raw summer pie",NA,NA,NA,NA,NA,NA,NA,NA
"Raw swamp paste",1150,1150,1150,1150,1150,1150,1150,1150
"Raw swordfish",310,301,296,296,301,305,305,305
"Raw trout",533,533,512,512,498,481,481,481
"Raw tuna",298,291,288,288,291,297,297,297
"Raw ugthanki meat",NA,NA,NA,NA,NA,NA,NA,NA
"Raw undead beef",384,384,384,384,384,384,384,384
"Raw undead chicken",251,251,251,251,251,251,251,251
"Raw wild pie",15400,15400,16100,16100,16100,15700,15700,15700
"Raw wilder pie",20200,20200,20200,20200,20200,20200,20200,20200
"Raw wolf meat",NA,NA,NA,NA,NA,NA,NA,NA
"Raw yak meat",NA,NA,NA,NA,NA,NA,NA,NA
"Razorback gauntlets",744600,744600,714400,714400,714400,714400,714400,714400
"Reaper necklace",30300000,30300000,33400000,33400000,34900000,36500000,36500000,36500000
"Reaper ornament kit",817100,817100,900900,900900,945900,1e+06,1e+06,1e+06
"Reborn phoenix pouch",7850,7850,7850,7850,7850,7850,7850,7850
"Red bead",1003,1003,980,980,980,995,995,995
"Red blossom seed",247,247,247,247,247,247,247,247
"Red boater",757900,757900,794300,794300,794300,794300,794300,794300
"Red chinchompa",1446,1409,1364,1364,1328,1252,1252,1252
"Red dragon egg (unchecke...",293000,285300,285300,285300,277000,277000,277000,277000
"Red dragon leather",3277,3160,3160,3160,3075,3075,3075,3075
"Red dragon mask",747800,747800,784200,784200,784200,784200,784200,784200
"Red dragonhide",2838,2776,2588,2588,2547,2533,2533,2533
"Red dragonhide body",5569,5569,5569,5569,5569,5489,5489,5489
"Red dragonhide boots",1481,1481,1435,1435,1435,1435,1435,1435
"Red dragonhide chaps",3389,3389,3389,3389,3389,3492,3492,3492
"Red dragonhide coif",1998,1998,1964,1964,1964,1964,1964,1964
"Red dragonhide set",11300,11300,11300,11300,11300,11300,11300,11300
"Red dragonhide shield",7639,7600,7600,7600,7600,7676,7676,7676
"Red dragonhide vambraces...",1291,1260,1259,1259,1259,1271,1271,1271
"Red dye",3296,3312,3371,3371,3486,3476,3476,3476
"Red elegant blouse",576400,576400,576400,576400,576400,576400,576400,576400
"Red elegant legs",580100,580100,580100,580100,580100,606600,606600,606600
"Red elegant shirt",573700,573700,599600,599600,599600,599600,599600,599600
"Red elegant skirt",562200,562200,562200,562200,562200,562200,562200,562200
"Red feather",39,39,38,38,38,38,38,38
"Red firelighter",481,481,505,505,505,523,523,523
"Red flowers",4023,4023,4023,4023,4023,4023,4023,4023
"Red hallowe'en mask",1e+09,1.1e+09,1.1e+09,1.1e+09,1.1e+09,1.1e+09,1.1e+09,1.1e+09
"Red headband",673300,673300,673300,673300,706100,706100,706100,706100
"Red onion",1241,1241,1241,1241,1241,1241,1241,1241
"Red partyhat",2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09,2.1e+09
"Red salamander",4042,4042,4042,4042,3924,3924,3924,3924
"Red salamander (unchecke...",1258,1258,1258,1258,1258,1258,1258,1258
"Red spiders' eggs",NA,NA,NA,NA,NA,NA,NA,NA
"Red spiky vambraces",1649,1649,1649,1649,1649,1649,1649,1649
"Red topaz",419,419,409,409,413,419,419,419
"Red topaz bakriminel bol...",784,784,608,608,608,608,608,608
"Red topaz machete",20800,20800,20800,20800,20800,20800,20800,20800
"Redberries",917,917,910,910,935,940,940,940
"Redberry pie",2461,2461,2528,2528,2565,2438,2438,2438
"Redberry seed",75,75,83,83,83,87,87,87
"Reed seed",4862,4862,4862,4862,4862,4823,4823,4823
"Reefwalker's cape",178500,178500,176300,176300,176300,176300,176300,176300
"Regen bracelet",122100,122100,125900,125900,125900,125900,125900,125900
"Regrowth scroll",174,174,174,174,174,174,174,174
"Rei ti ronin bracers & t...",1200000,1200000,1200000,1200000,1200000,1200000,1200000,1200000
"Rei ti ronin faulds toke...",4400000,4400000,4400000,4400000,5300000,5300000,5300000,5300000
"Rei ti ronin scarf token...",271300,271300,271300,271300,271300,271300,271300,271300
"Rei ti ronin sugegasa to...",274200,274200,274200,274200,274200,274200,274200,274200
"Rei ti ronin tunic token...",751500,751500,751500,751500,751500,751500,751500,751500
"Reinforced dragon bones",19000,19300,18300,18300,18300,18600,18600,18600
"Reinforcing plate",481400,481400,475900,475900,475900,475900,475900,475900
"Relicym's balm (1)",335,335,335,335,335,335,335,335
"Relicym's balm (2)",527,527,527,527,527,527,527,527
"Relicym's balm (3)",458,458,458,458,458,458,458,458
"Relicym's balm (4)",568,568,568,568,568,568,568,568
"Relicym's balm flask (6)...",6394,6394,6394,6394,6394,6394,6394,6394
"Relicym's mix (1)",146,146,146,146,146,146,146,146
"Relicym's mix (2)",292,292,292,292,292,292,292,292
"Rellekkan cream rabbit (...",5152,5052,5125,5125,5125,5231,5231,5231
"Rending scroll",244,244,244,244,244,244,244,244
"Reprisal ability codex",101900000,101900000,101900000,101900000,101900000,96900000,96900000,96900000
"Restore flask (6)",7614,7614,7614,7614,7614,7614,7614,7614
"Restore mix (1)",31,31,31,31,31,31,31,31
"Restore mix (2)",37,37,37,37,37,37,37,37
"Restore potion (1)",126,126,126,126,126,126,126,126
"Restore potion (2)",338,338,350,350,350,350,350,350
"Restore potion (3)",328,328,324,324,324,324,324,324
"Restore potion (4)",623,623,631,631,631,631,631,631
"Revenant bane 2h sword",2800000,2800000,2800000,2800000,2800000,2900000,2900000,2900000
"Revenant bane longsword",671400,671400,671400,671400,671400,671400,671400,671400
"Revenant bane off hand l...",2100000,2100000,2100000,2100000,2100000,2100000,2100000,2100000
"Revenant bane square shi...",638700,638700,638700,638700,638700,638700,638700,638700
"Ribcage piece",3643,3643,3643,3643,3643,3643,3643,3643
"Right banana of knowledg...",23500000,23500000,23500000,23500000,23500000,23500000,23500000,23500000
"Ring mould",345,345,345,345,345,345,345,345
"Ring of coins",758400,758400,790700,790700,790700,790700,790700,790700
"Ring of death",24800000,25900000,25900000,25900000,25900000,2.7e+07,2.7e+07,2.7e+07
"Ring of duelling (1)",4799,4799,5021,5021,5021,5021,5021,5021
"Ring of duelling (8)",4499,4499,4585,4585,4636,4807,4807,4807
"Ring of Fire scroll",1645,1645,1645,1645,1645,1645,1645,1645
"Ring of forging",3550,3550,NA,NA,NA,NA,NA,NA
"Ring of Fortune",2600000,2600000,2700000,2700000,2800000,2700000,2700000,2700000
"Ring of life",4976,4976,NA,NA,NA,NA,NA,NA
"Ring of Luck",NA,NA,NA,NA,NA,NA,NA,NA
"Ring of metamorphosis (n...",NA,NA,NA,NA,NA,NA,NA,NA
"Ring of recoil",NA,NA,NA,NA,NA,NA,NA,NA
"Ring of respawn (new)",NA,NA,NA,NA,NA,NA,NA,NA
"Ring of stone",614600,614600,614600,614600,614600,614600,614600,614600
"Ring of trees",764000,764000,797700,797700,797700,836800,836800,836800
"Ring of Wealth",NA,NA,NA,NA,NA,NA,NA,NA
"Ring of Wealth (4)",11400,11400,11200,11200,11400,11100,11100,11100
"Ripper claw",925900,925900,925900,925900,925900,925900,925900,925900
"Ripper dinosaur (uncheck...",6100000,6100000,6100000,6100000,6100000,6100000,6100000,6100000
"Rise From the Ashes scro...",230,230,230,230,230,230,230,230
"Riyl remains",461,461,461,461,461,461,461,461
"Roast beast meat",55,55,55,55,55,55,55,55
"Roast bird meat",33,33,33,33,33,33,33,33
"Roast rabbit",55,55,55,55,55,55,55,55
"Robe bottoms",483,483,608,608,608,608,608,608
"Robe top",433,433,643,643,643,643,643,643
"Robes of subjugation set...",15800000,15800000,15800000,15800000,16400000,16400000,16400000,16400000
"Robin",805300,805300,805300,805300,805300,805300,805300,805300
